id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95703,2020/4/4,乌兹别克斯坦,241,0,25,2,0,,36,0,0,0,0,,
95293,2020/4/4,黑山,197,0,1,2,0,,23,0,1,1,0,,
95294,2020/4/4,危地马拉,50,0,12,1,0,,14,0,2,0,0,,
95290,2020/4/4,加蓬,21,0,1,1,0,,3,0,1,0,0,,
95291,2020/4/4,苏丹,10,0,0,2,0,,2,0,0,0,0,,
87435,2020/4/4,利比亚,17,0,0,1,0,,6,0,0,0,0,,
95287,2020/3/7,圣马丁岛,2,0,0,0,0,,,0,,,0,,
95046,2020/4/4,土耳其,20921,0,484,425,0,,2786,0,69,69,0,,
95047,2020/3/23,巴布亚新几内亚,1,0,0,0,0,,,0,,,0,,
95000011,2020/4/4,多米尼加,1488,0,16,68,0,,379,0,11,17,0,,
95076,2020/4/4,约旦,310,0,58,5,0,,11,0,13,0,0,,
9532556,2020/4/4,亚美尼亚,770,0,43,7,0,,34,0,0,0,0,,
811192,2020/4/1,圣基茨和尼维斯,7,0,0,0,0,,,0,,,0,,
89665,2020/3/28,瓜德罗普,73,0,0,1,0,,,0,,,0,,
94367,2020/3/28,安提瓜和巴布达,7,0,0,0,0,,,0,,,0,,
95215,2020/4/4,玻利维亚,139,0,1,10,0,,32,0,1,4,0,,
95693,2020/4/4,哥伦比亚,1267,0,55,25,0,,106,0,24,6,0,,
879903,2020/3/27,圣文森特和格林纳丁斯,1,0,0,0,0,,,0,,,0,,
84326,2020/3/31,圣卢西亚,9,0,1,0,0,,,0,,,0,,
10,2020/4/4,法国,83031,0,14138,6521,0,0,23102,0,1590,1123,0,,0
11,2020/4/4,阿联酋,1505,0,125,10,0,,241,0,17,1,0,,
12,2020/4/4,加拿大,12545,0,2321,188,0,,1262,0,350,49,0,,
13,2020/4/4,印度,3082,0,192,86,0,,515,0,0,14,0,,
14,2020/4/4,英国,42433,0,209,4320,0,0,3752,0,4,709,0,,0
15,2020/4/4,意大利,119827,0,19758,14681,0,,4585,,1480,766,,,
16,2020/4/4,俄罗斯,4731,0,333,43,0,,582,0,52,9,0,,
17,2020/4/4,菲律宾,3094,0,57,144,0,,76,0,5,8,0,,
18,2020/4/4,芬兰,1882,0,300,20,0,,267,0,0,0,0,,
19,2020/4/4,尼泊尔,9,0,1,0,0,,3,0,0,0,0,,
95682,2020/4/4,葡萄牙,10524,0,75,266,0,,638,0,32,20,0,,
954356,2020/4/1,塞舌尔,10,0,0,0,0,,,0,,,0,,
20,2020/4/4,西班牙,124736,0,30513,11744,0,,7026,0,0,809,0,,
21,2020/4/4,斯里兰卡,162,0,25,5,0,,3,0,1,1,0,,
9509,2020/4/4,阿尔及利亚,1171,0,62,105,0,,185,0,16,22,0,,
22,2020/4/4,柬埔寨,114,0,50,0,0,,5,0,27,0,0,,
95239,2020/3/31,海地,15,0,1,0,0,,,0,,,0,,
23,2020/4/4,瑞典,6131,0,205,358,0,,53,0,102,25,0,,
95237,2020/4/4,特立尼达和多巴哥,100,0,1,6,0,,15,0,0,3,0,,
95jibuti,2020/4/4,吉布提,50,0,8,0,0,,1,0,0,0,0,,
953487,2020/4/4,布基纳法索,302,0,48,16,0,,14,0,0,0,0,,
954332,2020/4/4,比利时,18431,0,2872,1283,0,,1661,0,0,240,0,,
9534324,2020/4/4,伊拉克,820,0,226,54,0,,48,0,24,0,0,,
95000111,2020/4/3,马拉维,3,0,0,0,0,,,0,,,0,,
95010,2020/4/4,冰岛,1364,0,336,4,0,,,,,,,,
95jnybs,2020/4/3,几内亚比绍,9,0,0,0,0,,,0,,,0,,
953333666,2020/4/4,拉脱维亚,509,0,1,1,0,,16,0,0,0,0,,
9512111,2020/3/31,不丹,4,0,0,0,0,,,0,,,0,,
957873,2020/4/4,挪威,5519,0,32,61,0,,163,0,0,4,0,,
9524546,2020/4/4,印度尼西亚,2092,0,150,191,0,,196,0,16,10,0,,
956789,2020/4/2,安哥拉,8,0,1,2,0,,,0,,,0,,
87656,2020/3/27,开曼群岛,5,0,0,1,0,,,0,,,0,,
95844,2020/4/4,埃塞俄比亚,38,0,4,0,0,,3,0,2,0,0,,
95879,2020/3/30,梵蒂冈,6,0,0,0,0,,,0,,,0,,
95632,2020/4/4,科特迪瓦,218,0,1,19,0,,24,0,0,4,0,,
95634,2020/4/4,卡塔尔,1075,0,93,5,0,,126,0,21,0,0,,
950611,2020/4/4,格鲁吉亚,156,0,28,0,0,,17,0,2,0,0,,
96745,2020/4/4,墨西哥,1688,0,633,60,0,,178,0,85,10,0,,
95891,2020/4/4,圣马力诺,251,0,26,32,0,,21,0,13,7,0,,
95400,2020/4/4,哈萨克斯坦,525,0,36,6,0,,182,0,12,4,0,,
95643,2020/4/4,安道尔,439,0,16,16,0,,11,0,2,1,0,,
95886,2020/4/4,牙买加,53,0,7,3,0,,17,0,5,2,0,,
82333,2020/3/27,格恩西岛,1,0,0,0,0,,,0,,,0,,
95677,2020/4/4,罗马尼亚,3613,0,329,141,0,,430,0,46,8,0,,
95436,2020/4/4,阿曼,277,0,61,1,0,,25,0,4,0,0,,
95672,2020/4/4,列支敦士登,75,0,0,0,0,,11,0,0,0,0,,
9547021,2020/4/4,马达加斯加,70,0,0,0,0,,11,0,0,0,0,,
